COOPID, YEAR, MONTH, DAY, PRECIPITATION, MAX TEMP, MIN TEMP, MEAN TEMP
88758,2020,1,1,0.00000,65.00000,34.00000, 49.50000
88758,2020,1,2,0.00000,73.00000,51.00000, 62.00000
88758,2020,1,3,0.04000,78.00000,69.00000, 73.50000
88758,2020,1,4,0.25000,75.00000,50.00000, 62.50000
88758,2020,1,5,0.00000,61.00000,35.00000, 48.00000
88758,2020,1,6,0.00000,69.00000,32.00000, 50.50000
88758,2020,1,7,0.00000,69.00000,38.00000, 53.50000
88758,2020,1,8,0.00000,66.00000,30.00000, 48.00000
88758,2020,1,9,0.00000,73.00000,29.00000, 51.00000
88758,2020,1,10,0.00000,79.00000,58.00000, 68.50000
88758,2020,1,11,0.54000,75.00000,69.00000, 72.00000
88758,2020,1,12,0.03000,72.00000,63.00000, 67.50000
88758,2020,1,13,0.07000,76.00000,61.00000, 68.50000
88758,2020,1,14,0.00000,81.00000,59.00000, 70.00000
88758,2020,1,15,0.03000,77.00000,65.00000, 71.00000
88758,2020,1,16,0.00001,79.00000,64.00000, 71.50000
88758,2020,1,17,0.00000,72.00000,54.00000, 63.00000
88758,2020,1,18,0.08000,73.00000,50.00000, 61.50000
88758,2020,1,19,0.00001,66.00000,46.00000, 56.00000
88758,2020,1,20,0.00000,51.00000,30.00000, 40.50000
88758,2020,1,21,0.00000,47.00000,30.00000, 38.50000
88758,2020,1,22,0.00000,59.00000,29.00000, 44.00000
88758,2020,1,23,0.00001,69.00000,49.00000, 59.00000
88758,2020,1,24,0.06000,70.00000,48.00000, 59.00000
88758,2020,1,25,0.00000,60.00000,37.00000, 48.50000
88758,2020,1,26,0.02000,62.00000,34.00000, 48.00000
88758,2020,1,27,0.00001,62.00000,46.00000, 54.00000
88758,2020,1,28,0.00000,67.00000,36.00000, 51.50000
88758,2020,1,29,0.06000,53.00000,35.00000, 44.00000
88758,2020,1,30,0.00000,65.00000,48.00000, 56.50000
88758,2020,1,31,0.15000,56.00000,48.00000, 52.00000
88758,2020,2,1,0.00001,52.00000,39.00000, 45.50000
88758,2020,2,2,0.00000,66.00000,33.00000, 49.50000
88758,2020,2,3,0.00000,76.00000,34.00000, 55.00000
88758,2020,2,4,0.00000,73.00000,47.00000, 60.00000
88758,2020,2,5,0.02000,73.00000,57.00000, 65.00000
88758,2020,2,6,1.11000,77.00000,58.00000, 67.50000
88758,2020,2,7,0.00001,58.00000,36.00000, 47.00000
88758,2020,2,8,0.00000,64.00000,31.00000, 47.50000
88758,2020,2,9,0.00000,74.00000,38.00000, 56.00000
88758,2020,2,10,0.00000,74.00000,51.00000, 62.50000
88758,2020,2,11,0.00000,81.00000,57.00000, 69.00000
88758,2020,2,12,0.00001,74.00000,65.00000, 69.50000
88758,2020,2,13,0.17000,83.00000,58.00000, 70.50000
88758,2020,2,14,0.18000,64.00000,41.00000, 52.50000
88758,2020,2,15,0.00000,69.00000,39.00000, 54.00000
88758,2020,2,16,0.24000,58.00000,47.00000, 52.50000
88758,2020,2,17,0.01000,70.00000,56.00000, 63.00000
88758,2020,2,18,0.00001,76.00000,63.00000, 69.50000
88758,2020,2,19,0.00001,83.00000,66.00000, 74.50000
88758,2020,2,20,0.47000,70.00000,46.00000, 58.00000
88758,2020,2,21,0.00001,55.00000,40.00000, 47.50000
88758,2020,2,22,0.00000,61.00000,34.00000, 47.50000
88758,2020,2,23,0.00000,69.00000,32.00000, 50.50000
88758,2020,2,24,0.21000,74.00000,49.00000, 61.50000
88758,2020,2,25,2.12000,74.00000,56.00000, 65.00000
88758,2020,2,26,0.57000,68.00000,49.00000, 58.50000
88758,2020,2,27,0.00000,56.00000,35.00000, 45.50000
88758,2020,2,28,0.00000,63.00000,29.00000, 46.00000
88758,2020,2,29,0.00000,67.00000,34.00000, 50.50000
88758,2020,3,1,0.00000,69.00000,34.00000, 51.50000
88758,2020,3,2,0.00000,71.00000,46.00000, 58.50000
88758,2020,3,3,0.53000,80.00000,64.00000, 72.00000
88758,2020,3,4,0.51000,82.00000,63.00000, 72.50000
88758,2020,3,5,0.28000,80.00000,57.00000, 68.50000
88758,2020,3,6,0.00000,70.00000,49.00000, 59.50000
88758,2020,3,7,0.00000,64.00000,40.00000, 52.00000
88758,2020,3,8,0.00000,72.00000,38.00000, 55.00000
88758,2020,3,9,0.00000,76.00000,48.00000, 62.00000
88758,2020,3,10,0.00000,78.00000,56.00000, 67.00000
88758,2020,3,11,0.00001,78.00000,54.00000, 66.00000
88758,2020,3,12,0.00000,83.00000,54.00000, 68.50000
88758,2020,3,13,0.00000,81.00000,60.00000, 70.50000
88758,2020,3,14,0.00000,86.00000,53.00000, 69.50000
88758,2020,3,15,0.00000,86.00000,55.00000, 70.50000
88758,2020,3,16,0.00000,85.00000,61.00000, 73.00000
88758,2020,3,17,0.00000,79.00000,63.00000, 71.00000
88758,2020,3,18,0.00000,85.00000,63.00000, 74.00000
88758,2020,3,19,0.00000,84.00000,59.00000, 71.50000
88758,2020,3,20,0.00000,85.00000,59.00000, 72.00000
88758,2020,3,21,0.12000,86.00000,65.00000, 75.50000
88758,2020,3,22,0.00000,84.00000,62.00000, 73.00000
88758,2020,3,23,0.00000,85.00000,60.00000, 72.50000
88758,2020,3,24,0.00000,88.00000,62.00000, 75.00000
88758,2020,3,25,0.00001,89.00000,69.00000, 79.00000
88758,2020,3,26,0.00000,89.00000,63.00000, 76.00000
88758,2020,3,27,0.00000,88.00000,62.00000, 75.00000
88758,2020,3,28,0.00000,88.00000,62.00000, 75.00000
88758,2020,3,29,0.00000,88.00000,65.00000, 76.50000
88758,2020,3,30,0.00000,89.00000,61.00000, 75.00000
88758,2020,3,31,0.78000,84.00000,60.00000, 72.00000
